Location,Month,number of visitors
香港,1,"180,195"
香港,2,"212,642"
香港,3,"177,922"
香港,4,"191,960"
香港,5,"199,976"
香港,6,"202,330"
香港,7,"233,849"
香港,8,"214,189"
香港,9,"182,089"
香港,10,"192,302"
香港,11,"155,861"
香港,12,"165,318"
中國大陸,1,"158,962"
中國大陸,2,"187,503"
中國大陸,3,"178,792"
中國大陸,4,"183,895"
中國大陸,5,"194,184"
中國大陸,6,"206,639"
中國大陸,7,"245,672"
中國大陸,8,"230,310"
中國大陸,9,"211,806"
中國大陸,10,"221,683"
中國大陸,11,"202,693"
中國大陸,12,"202,103"
澳門,1,"58,339"
澳門,2,"56,416"
澳門,3,"60,801"
澳門,4,"59,552"
澳門,5,"55,260"
澳門,6,"57,289"
澳門,7,"61,573"
澳門,8,"56,882"
澳門,9,"51,637"
澳門,10,"51,773"
澳門,11,"47,571"
澳門,12,"50,817"
日本,1,"92,832"
日本,2,"107,985"
日本,3,"91,243"
日本,4,"112,939"
日本,5,"124,151"
日本,6,"126,779"
日本,7,"165,949"
日本,8,"132,060"
日本,9,"117,009"
日本,10,"120,290"
日本,11,"97,209"
日本,12,"89,511"
韓國,1,"36,008"
韓國,2,"38,938"
韓國,3,"27,860"
韓國,4,"33,407"
韓國,5,"33,033"
韓國,6,"33,480"
韓國,7,"36,160"
韓國,8,"38,729"
韓國,9,"32,058"
韓國,10,"38,939"
韓國,11,"33,968"
韓國,12,"23,710"
