年/月,"2003 年
每月出境人數","2002 年
每月出境人數",成長率,2003 年每月總計,2002 年每月總計,成長率
200301,"694,986","659,268",5.42%,"694,986","659,268",5.42%
200302,"713,278","704,233",1.28%,"713,278","704,233",1.28%
200303,"602,746","707,638",-14.82%,"602,746","707,638",-14.82%
200304,"295,966","737,948",-59.89%,"295,966","737,948",-59.89%
200305,"143,430","719,932",-80.08%,"143,430","719,932",-80.08%
200306,"258,456","710,553",-63.63%,"258,456","710,553",-63.63%
200307,"675,383","798,544",-15.42%,"675,383","798,544",-15.42%
200308,"758,602","798,390",-4.98%,"758,602","798,390",-4.98%
200309,"668,685","670,761",-0.31%,"668,685","670,761",-0.31%
200310,"725,700","717,972",1.08%,"725,700","717,972",1.08%
200311,"639,279","632,177",1.12%,"639,279","632,177",1.12%
200312,"626,953","650,013",-3.55%,"626,953","650,013",-3.55%
小計,"6,803,464","8,507,429",-20.03%,"6,803,464","8,507,429",-20.03%
